"","path","frac_train","split_seed","block_seed_train","block_seed_test","block_order_train_for_BWM","block_order_test_for_BWM","train_pattern","train_pattern_seed","test_pattern","common_blocks","ntree","mtry","min_node_size","AUC","Accuracy","Sensitivity","Specificity","Precision","Recall","F1","BrierScore","repetition","approach"
"Accuracy","./Data/Raw/BRCA.Rda",0.75,12345679,1234568,7654322,"clin - cnv - rna - mirna","clin - mirna - cnv - rna",4,12346,3,"clin - mirna - cnv",500,243,1,0.8466796875,0.782407407407407,0.590909090909091,0.9140625,0.825396825396825,0.590909090909091,0.688741721854305,0.16647205767101,1,"Imputation"
"Accuracy1","./Data/Raw/BRCA.Rda",0.75,12345680,1234569,7654323,"clin - mirna - cnv - rna","clin - rna - mirna - cnv",4,12347,3,"clin - rna - mirna",500,154,1,0.886106013170679,0.861111111111111,0.677966101694915,0.929936305732484,0.784313725490196,0.677966101694915,0.727272727272727,0.165633266968281,2,"Imputation"
"Accuracy2","./Data/Raw/BRCA.Rda",0.75,12345681,1234570,7654324,"clin - cnv - rna - mirna","clin - rna - cnv - mirna",4,12348,3,"clin - rna - cnv",500,285,1,0.939473684210526,0.87037037037037,0.763157894736842,0.928571428571429,0.852941176470588,0.763157894736842,0.805555555555555,0.137285264692163,3,"Imputation"
"Accuracy3","./Data/Raw/BRCA.Rda",0.75,12345682,1234571,7654325,"clin - mirna - rna - cnv","clin - mirna - rna - cnv",4,12349,3,"clin - mirna - rna",500,154,1,0.932387706855792,0.875,0.8,0.914893617021277,0.833333333333333,0.8,0.816326530612245,0.146417851423139,4,"Imputation"
"Accuracy4","./Data/Raw/BRCA.Rda",0.75,12345683,1234572,7654326,"clin - rna - mirna - cnv","clin - mirna - cnv - rna",4,12350,3,"clin - mirna - cnv",500,243,1,0.856341911764706,0.782407407407407,0.6375,0.867647058823529,0.739130434782609,0.6375,0.684563758389262,0.153387588586732,5,"Imputation"
"Accuracy5","./Data/Raw/BRCA.Rda",0.75,12345679,1234568,7654322,"clin - cnv - rna - mirna","clin - mirna - cnv - rna",4,12346,4,"clin - mirna - cnv - rna",500,286,1,0.866344105113636,0.796296296296296,0.727272727272727,0.84375,0.761904761904762,0.727272727272727,0.744186046511628,0.165134913065844,1,"Imputation"
"Accuracy6","./Data/Raw/BRCA.Rda",0.75,12345680,1234569,7654323,"clin - mirna - cnv - rna","clin - rna - mirna - cnv",4,12347,4,"clin - rna - mirna - cnv",500,286,1,0.917899168735831,0.875,0.76271186440678,0.917197452229299,0.775862068965517,0.76271186440678,0.769230769230769,0.156613048703704,2,"Imputation"
"Accuracy7","./Data/Raw/BRCA.Rda",0.75,12345681,1234570,7654324,"clin - cnv - rna - mirna","clin - rna - cnv - mirna",4,12348,4,"clin - rna - cnv - mirna",500,286,1,0.933646616541353,0.861111111111111,0.736842105263158,0.928571428571429,0.848484848484849,0.736842105263158,0.788732394366197,0.148215894675926,3,"Imputation"
"Accuracy8","./Data/Raw/BRCA.Rda",0.75,12345682,1234571,7654325,"clin - mirna - rna - cnv","clin - mirna - rna - cnv",4,12349,4,"clin - mirna - rna - cnv",500,286,1,0.924018912529551,0.856481481481482,0.826666666666667,0.872340425531915,0.775,0.826666666666667,0.8,0.154564657921811,4,"Imputation"
"Accuracy9","./Data/Raw/BRCA.Rda",0.75,12345683,1234572,7654326,"clin - rna - mirna - cnv","clin - mirna - cnv - rna",4,12350,4,"clin - mirna - cnv - rna",500,286,1,0.877159926470588,0.800925925925926,0.675,0.875,0.76056338028169,0.675,0.71523178807947,0.164272569902263,5,"Imputation"
